item_id,dom_col_hex,gender,age
215524,#ed7576,Female,Young
213579,#131313,Male,Young
215492,#c3cdcf,Female,Young
213949,#feffff,Female,Young
212843,#8dabb3,Female,Young
215491,#ff4a2c,Female,Young
215867,#fbfbfd,Female,Young
215709,#ffffff,Female,Young
215246,#d4c4b5,Female,Young
215209,#dde1e2,Female,Young
213650,#202020,Male,Young
213081,#d91a5d,Female,Young
212598,#c9c9c9,Female,Young
212834,#fbfbfb,Female,Young
212613,#dde5e8,Female,Young
216313,#1a1a1a,Male,Young
214048,#e9e7e8,Female,Young
213524,#d5d5d5,Female,Young
212028,#3f3d48,Uncategorized,Young
212945,#dde1e2,Female,Young
213483,#f1f4fb,Female,Young
214475,#d8d8d8,Female,Young
212398,#2b2a30,Male,Young
212763,#000000,Male,Young
214926,#c2c1bd,Female,Young
214447,#dcdcdc,Female,Young
212222,#c5c2b8,Female,Young
213262,#feffff,Female,Young
216468,#161618,Male,Young
212021,#000001,Male,Young
212790,#d80202,Uncategorized,Young
213307,#ffffff,Female,Young
213449,#c5c2bb,Female,Young
212421,#7b9eb4,Female,Young
213919,#feffff,Female,Young
215561,#fefefe,Female,Young
212218,#feffff,Female,Young
215563,#743a99,Female,Young
213884,#ffffff,Female,Young
212026,#feffff,Female,Young
215953,#2e6ba4,Female,Young
215562,#f2cf41,Female,Young
212219,#feffff,Female,Young
215210,#feffff,Female,Young
212524,#f7f7f7,Female,Young
215713,#fffffe,Female,Young
216353,#5e3b1b,Uncategorized,Young
212684,#010102,Male,Young
215699,#2f2f2f,Male,Young
216019,#0e273d,Male,Young
213361,#000000,Male,Young
216392,#fbfbfb,Female,Young
212484,#14599c,Uncategorized,Young
211826,#fefefe,Female,Young
215881,#fefefe,Female,Young
216393,#d4c4b5,Female,Young
214219,#000001,Male,Young
215885,#d4c4b5,Female,Young
215488,#c6ebfe,Female,Young
211639,#d7c4a3,Female,Young
213239,#fffffd,Female,Young
215700,#dcdbe0,Female,Young
211821,#fefefe,Female,Young
213005,#feffff,Female,Young
211363,#1d1e20,Male,Young
